year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2004,3,Male,33265,121111,157557,166075,167843,191298,188538,200625,200930,179309,150297,135809,134960,105129,94580,79429,62643,44625,16882,7328,2438233
2004,3,Female,31412,115507,151074,159600,164845,194568,189598,196433,197399,179321,150210,137028,137556,110333,104334,96674,88343,76255,39012,25187,2544689
2004,4,Male,30622,111634,148679,160070,161994,185184,180562,199317,200196,182499,155792,144502,148507,116535,102285,85300,67229,46781,18830,8210,2454728
2004,4,Female,29445,106582,141579,151518,157738,186786,178832,192641,197214,181617,157116,146316,151927,120882,110016,102004,92051,79556,41113,26779,2551712
2004,5,Male,28865,107253,145716,156834,156040,165740,165649,186740,197227,186405,161765,151340,162528,126039,110056,92107,71632,49721,20116,8990,2450763
2004,5,Female,26971,101356,138400,149697,149798,161657,163153,185295,196537,186316,164196,156082,165689,130951,118345,107801,95718,83176,43353,28686,2553177
2004,6,Male,27728,106272,145000,154793,152615,153852,157426,182614,198428,189471,167871,157605,171613,132422,115138,95621,74239,51087,20859,9344,2463998
2004,6,Female,26510,100653,138371,148010,146714,145701,156778,181867,198415,190879,169294,162351,176460,137814,122117,110136,96775,82714,43963,29111,2564633
2004,7,Male,26978,105156,144592,156550,156747,147975,144998,175134,196785,191492,171600,163808,178746,136389,117370,97860,74847,51443,20777,9377,2468624
2004,7,Female,25487,100134,137415,147961,148388,139667,143711,176566,199074,195481,173704,168774,182952,142332,124835,111384,95294,82747,43745,28838,2568489
2004,8,Male,27339,106264,145613,157138,154863,140915,140588,171158,196416,193526,172211,164386,181105,136858,116473,96738,73399,49802,20220,9439,2454451
2004,8,Female,25538,100474,138429,149099,146844,132474,138507,174180,200245,196414,174663,169836,186753,141699,124286,109435,94572,78788,41915,28053,2552204
2004,9,Male,26847,109227,152644,163642,162848,134321,130883,165408,198151,199535,178095,168694,184236,138190,117353,97249,74877,49828,19841,9384,2481253
2004,9,Female,25467,103496,144499,155408,151064,120786,128806,171867,204163,203152,180789,173602,190128,143174,125018,109897,93941,78326,40096,26879,2570558
2004,10,Male,26329,112666,160929,173571,159884,117985,108910,147034,191317,204409,186157,174390,189475,137787,116902,98061,74577,49437,19309,8971,2458100
